"longitude","latitude","month","depth","slope","aspect","distance_shore","distance_200m","distance_1000m","chll","sst","PA"
173.27,-36.52,1,-1312,0.479946520750509,354.833404538895,73.554810000826,52.1439490006743,23.8348599998633,0.129091084003448,20.8195343012165,1
174.92,-41.44,1,-197,7.32111967911907,157.421833912196,14.115415001967,7.412995102168,23.2959379979038,0.790832996368408,16.512487412475,1
179,-43.81,1,-385,1.2805461705301,163.50550075421,348.07191999963,108.552379999702,40.7276349977446,0.6175656914711,15.9128351211497,1
172.32,-38,1,-1463,1.40453788181157,259.479924758602,183.101129998684,71.7156429986031,54.6717969985697,0.151778623461723,20.2412452700628,1
179.47,-47.79,1,-208,0.118678271080083,313.445598163276,507.097460002106,11.1888869972307,61.1572090028111,0.617269992828369,11.9635057455431,1
173.85,-42.82,1,-1131,3.76877132898358,108.303649989449,33.941980000801,17.6749540001169,7.18450988999663e-07,0.696548640727997,16.4595146182541,1
173.98,-43.03,1,-1072,1.92585367391663,72.9929169179215,52.7345340013547,28.5234220003436,4.46758289840407,0.596722424030304,16.3600387583709,1
173.88,-43,1,-1267,18.2944265397509,336.382450531056,44.9203800014179,20.3335900002249,1.169742683778e-06,0.684879720211029,16.3131256113997,1
174.02,-43.03,1,-1122,3.94835041320956,287.618342678132,55.0610550013037,31.2289630003237,2.29578369873283,0.568580508232117,16.3812942515358,1
171.59,-41.3,1,-125,0.224490092388194,316.641803763147,29.4452939989971,37.8252780018764,155.367519999409,0.886418640613556,18.6796684250877,1
171.56,-34.83,1,-1400,0.218981124160924,330.411619806715,108.050770000369,64.6375870002766,35.6043940010216,0.120049864053726,20.6793746946216,1
178.58,-34.61,1,-2618,8.80161930741781,346.209933237638,325.203019998538,255.740499999301,85.5965519997627,0.0883704572916031,21.1930580141054,1
171.24,-45.71,1,-747,0.796646472712008,219.141268646755,33.6570640000963,14.2395400001044,9.24777689962725,0.79646247625351,14.0353240931262,1
175.33,-44.68,1,-841,0.507282542691714,125.606365117049,200.040240001197,66.8304470017254,14.0014079976738,0.612712800502777,14.8831501014598,1
173.24,-44.76,1,-1058,0.764218624546962,191.069579095979,86.7385680024412,44.0084300020848,1.57599537899162e-06,0.839657127857208,14.2689418790381,1
175.85,-34.52,1,-1749,3.57686432534696,79.9389026558141,160.221329999265,128.947319999045,74.3857349992853,0.0981572866439819,21.5011825561639,1
175.23,-44.7,1,-894,0.600689015732993,142.724879076137,194.634170001277,75.058964001648,13.5603069975676,0.590002596378326,14.7984790809426,1
173.85,-43.16,1,-697,2.609983771084,291.288387841598,51.4215620012743,19.3036479977991,8.92209160104626,0.757330536842346,16.1526870721162,1
174.5,-44.21,1,-590,0.263212113721378,199.10285389601,118.00112000126,59.5019040015651,73.7238359976261,0.836393237113953,15.1232833876914,1
175.22,-44.81,1,-912,0.564141302088899,103.139468015581,198.908980001394,83.9725770018079,3.93279089773067,0.544436633586884,14.6781196601398,1
174.8,-41.5,1,-163,1.32783620426201,142.467379839056,18.5310420018552,9.11867220081805,22.2877409985109,0.66177761554718,16.451358795208,1
173.06,-45.53,1,-1531,0.366094268379341,119.229058656498,159.646580001081,106.604390002177,81.5429460025812,0.311197519302368,14.3010025030123,1
174.2,-36.39,1,-1,0.0182641574613799,328.333553190895,7.68714989927692,28.4001459996338,59.7119670001033,4.04092693328857,20.5570602420377,1
172.23,-46.86,1,-1392,0.443649433092386,101.622896653223,158.788530001848,132.540010001715,103.217340001794,0.2637819647789,13.0563278197419,1
173.02,-34.58,1,-16,0.570250827247206,56.9630693194788,1.52636080013507,24.018677001075,41.27318000084,0.580433785915375,20.1357574483629,1
173.82,-36.06,1,-6,0.53332510786616,245.91761046435,4.76710980128976,11.8696049994634,41.9157449990782,0.518822193145752,20.4427871698901,1
173.35,-35.53,1,-13,1.07359240504837,236.1244141871,2.38961299935557,12.8993619990821,59.5170929986447,0.567207157611847,20.3850650792562,1
173.41,-34.95,1,-1,0.191930168329348,54.0417366977046,11.7537300008884,30.8767110012106,60.8704670014438,2.22413945198059,20.4235248581987,1
174.56,-35.86,1,-8,0.735690351839651,216.08255920338,3.00483130013777,50.2386460009092,102.089060001009,0.959807753562927,20.4833507537605,1
176.54,-41.38,1,-1846,2.06942062626198,125.189036046357,45.9149200006868,37.8683850014065,9.26624350216168,0.363241046667099,18.3274230978598,1
178.5,-37.05,1,-2254,0.484342642652168,330.059451800839,56.5835919984121,51.8617049984576,39.4185779985295,0.121553599834442,20.7159881587178,1
177.02,-37.92,1,-3,0.559811143078623,21.5330188745099,3.70649719818754,30.2458100012627,66.6306130014974,1.02656924724579,20.7871112826229,1
175.35,-36.29,1,-34,0.478739007057926,250.066218724851,27.5819949985097,51.4923700012306,91.1027339995711,0.509514331817627,20.8091888422571,1
